gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1.3_RNAseq_rep1	E12.5_DFL_DelCBS1.3_RNAseq_rep2	E12.5_DFL_DelCBS1.3_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000074500	Zfp558	167.126675396387	173.875091253	139.822788029421	180.935094173974	175.976217640212	176.60400378551	169.056645046417	-0.151942165885067	0.181241028267541	-0.838343102207387	0.401838034967956	0.994502881406078
ENSMUSG00000075486	Commd6	273.741968321668	271.679830082812	248.380853269654	279.157002439846	313.100543074144	271.541416225119	276.266935568874	-0.121573573356209	0.144755529706578	-0.839854433213296	0.400990009006182	0.994502881406078
ENSMUSG00000075569	Rsph10b	13.4469738824679	18.7706064420852	11.2900387849843	21.7122113008769	19.4259461031403	18.3749830528276	17.170126594397	-0.456478600568661	0.541420316501103	-0.843113172255203	0.399165152519231	0.994502881406078
ENSMUSG00000090290	Tarbp1	438.947647449131	496.927107387834	422.94222217595	425.972907426728	386.233516638908	449.166252402452	436.698275580167	0.105534836545309	0.124538475592255	0.847407486268221	0.396768033180423	0.994502881406078
ENSMUSG00000095362	Gm14325	49.9459029920237	47.4204794326363	47.7655487057028	62.0348894310768	61.7059464452693	50.020787199364	53.1489257010121	-0.258754793333142	0.308035652943292	-0.840015728246812	0.400899567945856	0.994502881406078
ENSMUSG00000102440	Pcdhga9	69.1558656812636	51.3721860520226	51.2394067933903	53.7635708402666	67.4194600050164	83.7082561295479	62.7764575835846	-0.255742935068776	0.304730736766247	-0.839242334996064	0.401333335081825	0.994502881406078
ENSMUSG00000109336	Samd4b	2170.72578388411	1961.03440987048	2191.13598880887	2146.40717431526	2196.27461236681	2250.93542397138	2152.75223220282	-0.0601657689439856	0.0719183629823377	-0.836584238698003	0.402826308046996	0.994670541825155
ENSMUSG00000027291	Vps39	1220.79312890119	978.047388298123	1054.31592961315	1289.29178534255	1219.26379365004	968.769939840743	1121.7469942743	-0.0957921603233216	0.114561776607779	-0.83616161655106	0.403063988543067	0.995073531212846
ENSMUSG00000013973	Dedd	670.427697854472	705.379631560465	732.115591980135	753.723906587584	700.476762425001	775.832617786053	722.992701365618	-0.0814977408166981	0.0976530229385475	-0.834564444236245	0.403962988476502	0.995097737903004
ENSMUSG00000017639	Rab11fip4	1506.06107483641	1499.67266205712	1343.51461541313	1335.81795241585	1472.94379570282	1335.24876850547	1415.5431448218	0.0697429191327658	0.0834730622662389	0.835514083697079	0.40342832060807	0.995097737903004
ENSMUSG00000021918	Nek4	484.091059768845	516.685640484766	452.470015921294	476.63473379544	412.515679013745	465.499570671632	467.982783275954	0.0995855108688533	0.119254548307635	0.835066773402703	0.403680113305438	0.995097737903004
ENSMUSG00000022889	Mrpl39	838.514871385321	793.305103841811	825.909760347697	855.047559325009	823.88865531554	911.603325898613	841.378212685665	-0.0762901309702941	0.0913869272669475	-0.83480354632611	0.403828328814161	0.995097737903004
ENSMUSG00000025921	Rdh10	578.219876946121	1060.04530065039	626.162920305667	529.364389811856	820.460547179692	460.395408712513	679.108073934373	0.323134902980628	0.38661782342929	0.835799291699564	0.403267825037606	0.995097737903004
ENSMUSG00000026188	Tmem169	112.378281732053	95.8288855201191	71.2140907975932	96.1540786181691	118.841082042741	107.187401141494	100.267303308695	-0.206919592689211	0.247724828324807	-0.835279992273952	0.403560079842736	0.995097737903004
ENSMUSG00000026827	Gpd2	557.088917987957	558.178559988323	605.319771779542	619.314979486917	543.926490887929	672.728546211854	592.75954439042	-0.0942340613998488	0.112903794121772	-0.834640342539885	0.403920240476788	0.995097737903004
ENSMUSG00000029725	Ppp1r35	291.030934741984	163.995824704534	265.750143708092	283.292661735251	295.960002394903	230.708120552169	255.122947972822	-0.166236248285203	0.198987859147748	-0.835408999308713	0.403487464562611	0.995097737903004
ENSMUSG00000035984	Nme5	15.3679701513919	2.96377996453977	13.026967828828	17.5765520054718	13.7124325433932	15.3124858773563	12.9933647284968	-0.567073594555601	0.679491049322247	-0.834556386167595	0.403967527160085	0.995097737903004
ENSMUSG00000038192	Cer1	21.1309589581639	2.96377996453977	9.55310974114055	17.5765520054718	33.1383786465335	3.06249717547126	14.5708794152201	-0.669794001964987	0.802381682782068	-0.834757343466061	0.403854347660998	0.995097737903004
ENSMUSG00000044328	Trp53i13	342.897834002932	331.943356028454	342.175021637216	368.073677291056	430.798922404936	308.291382330774	354.030032282561	-0.120640100661366	0.144418725642257	-0.835349433564496	0.403520991864111	0.995097737903004
ENSMUSG00000046314	Stxbp6	538.839453433179	609.550746040345	529.76335837234	576.924471709015	619.344869876592	590.04112247413	577.4106703176	-0.0904383903796165	0.108278307153923	-0.835240158040651	0.40358250325552	0.995097737903004
ENSMUSG00000000827	Tpd52l2	1448.43118676869	1544.12936152522	1412.99177716688	1584.99142496401	1552.93298553928	1467.95697944256	1501.90561923444	-0.0643987308997343	0.0771908668331998	-0.834279151688919	0.404123697257513	0.995115502959386
ENSMUSG00000005267	Zfp287	289.10993847306	298.35384976367	243.170066138123	255.376961491266	266.249731884217	238.874779686759	265.189221239516	0.12650892750363	0.151635744679923	0.834294893797425	0.404114828538024	0.995115502959386
ENSMUSG00000006304	Arpc2	2445.42825034024	2575.52478918506	2557.6280170599	2572.38008174199	2630.50164290759	2659.26838070088	2573.45519365594	-0.0529419641834031	0.0635001605993446	-0.833729610818489	0.404433368162917	0.995327727394498
ENSMUSG00000019837	Gtf3c6	1527.19203379457	1537.21387494129	1615.34401077468	1581.88968049246	1533.50703943614	1789.51918286704	1597.4443037177	-0.0680440419566689	0.0816100203491936	-0.833770677491826	0.404410221840229	0.995327727394498
ENSMUSG00000026879	Gsn	513.866501937167	647.091958924516	476.787022535106	522.126986044897	713.046492256445	545.124497233885	569.673909822003	-0.120159757263804	0.144087432041932	-0.833936420137153	0.404316812715786	0.995327727394498
ENSMUSG00000009585	Apobec3	128.706750017907	136.333878368829	142.428181595186	146.815904986882	149.694055265375	158.229020732682	143.701298494477	-0.157977742879976	0.189929412166914	-0.831770819893557	0.40553831756685	0.995496078828513
ENSMUSG00000018415	Gid4	1098.80986582452	1092.64688026033	1066.47443292005	996.693890192634	1093.56649533561	1014.70739747281	1060.48316033433	0.0697902391991725	0.0837744295956391	0.833073284247172	0.404803399664971	0.995496078828513
ENSMUSG00000020089	Ppa1	1876.81335473874	1798.02651182079	2049.57627173561	1970.64165426054	2002.0151513354	2003.89398515003	1950.16115484019	-0.0616150543132857	0.0739706288081621	-0.832966480156337	0.404863634076834	0.995496078828513
ENSMUSG00000020485	Supt4a	264.136986977048	251.92129698588	286.593292234217	290.53006550221	262.821623748369	320.541371032659	279.424106080064	-0.122980326777152	0.147624342991666	-0.833062652709624	0.40480939530385	0.995496078828513
ENSMUSG00000022339	Ebag9	236.282541077651	317.124456205755	280.514040580764	288.462235854507	297.102705106852	324.624700599954	290.68511323758	-0.126860204040181	0.15255814608863	-0.831553131004095	0.40566122662988	0.995496078828513
ENSMUSG00000023284	Zfp605	328.490361986002	178.814724527233	344.780415202982	331.886658456261	315.385948498043	309.312214722598	301.445053898853	-0.165158665411404	0.198604472926911	-0.83159590001875	0.40563707711134	0.995496078828513
ENSMUSG00000026234	Ncl	17349.477802787	16696.9483935622	18435.7648713574	17578.6198351195	17747.3158192866	18935.4200359388	17790.5911263419	-0.0480552647435271	0.0576571596015881	-0.833465697505562	0.40458213597927	0.995496078828513
ENSMUSG00000027298	Tyro3	1896.98381556244	1529.31046170252	1639.66101738849	1802.11353797278	1895.74379912411	1644.56098322807	1734.72893582973	-0.076308759510788	0.0917363391736847	-0.831826953180597	0.405506627827713	0.995496078828513
ENSMUSG00000030168	Adipor2	1475.32513453362	1467.07108244718	1482.46893892063	1527.09219482834	1567.78812079462	1517.97776664192	1506.28720636105	-0.0597819411476123	0.0718417620742976	-0.832133558831516	0.405333561404479	0.995496078828513
ENSMUSG00000034424	Gcsh	885.579279973959	867.399602955305	944.889399850993	1002.89737913574	881.023790913011	960.603280706153	923.732122255861	-0.0765130536913957	0.0919796928808411	-0.831847240352474	0.405495175180183	0.995496078828513
ENSMUSG00000035107	Dcbld2	1687.59522224972	1681.45116654889	1875.01490282931	1697.6881407638	1386.09838959466	1864.03994747018	1698.6479615761	0.0834281650307059	0.100344271788883	0.83141930818166	0.405736795217173	0.995496078828513
ENSMUSG00000036333	Kidins220	1807.65748905747	2062.79085531968	1729.11286314644	1638.75499580428	1829.46704183104	1857.91495311923	1820.94969971302	0.0718912447094372	0.0864739175765905	0.831363337341143	0.40576840395929	0.995496078828513
ENSMUSG00000037553	Zdhhc18	851.001347133327	889.13398936193	751.221811462416	804.385732956296	782.75135768536	765.624293867816	807.353088744524	0.0816738467079602	0.09824037849647	0.831367386383746	0.405766117270281	0.995496078828513
ENSMUSG00000039787	Cercam	284.30744780075	235.126543853488	254.460104923108	325.683169513153	275.391353579813	247.041438821349	270.33500974861	-0.132113097582689	0.158664999290084	-0.832654323094591	0.405039712331985	0.995496078828513
ENSMUSG00000041959	S100a10	233.401046674265	507.794300591147	437.706119048622	299.835298916871	379.377300367211	283.791404927004	356.98424508752	0.292221419890615	0.35111570543441	0.832265305617904	0.405259209261524	0.995496078828513
ENSMUSG00000052713	Zfp608	1746.18560845191	1531.28631501221	1605.79090103354	1610.8392955603	1711.76866250025	1792.58168004251	1666.40874376678	-0.0669344958159245	0.0803993398886167	-0.83252543999309	0.405112424700091	0.995496078828513
ENSMUSG00000060121	Gemin2	438.947647449131	449.506627955198	474.18162896934	417.701588835917	421.65730070934	435.895431308743	439.648370871278	0.095970494191654	0.115255612795587	0.832675232588137	0.405027916495561	0.995496078828513
ENSMUSG00000032333	Stoml1	326.569365717078	352.689815780232	322.200337633013	344.293636342476	380.520003079161	354.228839962843	346.750333085801	-0.107510779064369	0.129412995132365	-0.83075721224446	0.406110798755918	0.995690064546275
